epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6307,2.0809,3.37162,2.39204,1.88751,0,0.43365,0.35664,0.34833,0.13399,0.15149,0.14231,0.06854,0.01659,2.12717,6.59503,2.66665,1.97558,0,0.00019726,0.00019726,0.0804712
2,157.569,1.78801,2.75746,1.76695,1.6559,0,0.50649,0.4114,0.42427,0.20886,0.24015,0.16301,0.13052,0.04506,1.89371,3.83258,2.18839,1.79297,0,0.000397217,0.000397217,0.0606712
3,227.913,1.74217,2.65751,1.70721,1.62073,0,0.55786,0.464,0.48455,0.25725,0.11223,0.10622,0.03706,0.01354,1.79869,4.36211,1.78162,1.6956,0,0.000597001,0.000597001,0.040871
4,300.786,1.75035,2.6617,1.69069,1.6112,0,0.64328,0.4662,0.50547,0.27503,0.25973,0.23385,0.16772,0.04298,1.77114,3.54764,1.87908,1.67874,0,0.000796482,0.000796482,0.0210705
5,371.671,1.71564,2.57719,1.64837,1.5993,0,0.61578,0.47312,0.49392,0.26695,0.36083,0.30645,0.29355,0.12921,1.81607,3.17968,1.7618,1.71583,0,0.000995529,0.000995529,0.0012695
6,440.389,1.68059,2.52419,1.59059,1.55526,0,0.60914,0.46111,0.48102,0.25723,0.24689,0.22905,0.18128,0.06114,1.84085,3.04152,1.71707,1.67032,0,0.000997288,0.000997288,0.000997288
7,513.092,1.68212,2.50032,1.56953,1.55568,0,0.63234,0.50888,0.53707,0.29523,0.37802,0.33693,0.32949,0.14854,1.72507,2.56709,1.63226,1.602,0,0.000996097,0.000996097,0.000996097
8,585.691,1.63013,2.4726,1.53152,1.52942,0,0.66107,0.5159,0.55264,0.31826,0.44792,0.36811,0.36223,0.17683,1.67567,2.41041,1.62324,1.56437,0,0.00099469,0.00099469,0.00099469
9,657.396,1.63072,2.46347,1.52947,1.53285,0,0.63827,0.53735,0.56576,0.33561,0.45855,0.35166,0.33218,0.1409,1.63703,2.50312,1.55696,1.52779,0,0.000993068,0.000993068,0.000993068
10,727.707,1.598,2.40982,1.48245,1.49594,0,0.64784,0.51361,0.55753,0.32047,0.45034,0.36946,0.36696,0.19719,1.66851,2.37123,1.51351,1.5508,0,0.000991232,0.000991232,0.000991232
11,798.69,1.58112,2.35763,1.45751,1.49091,0,0.65309,0.52724,0.56976,0.32223,0.44462,0.35774,0.35376,0.15103,1.64313,2.37928,1.48073,1.5428,0,0.000989183,0.000989183,0.000989183
12,870.752,1.55401,2.35393,1.41583,1.47401,0,0.70154,0.54359,0.58799,0.35431,0.45499,0.40087,0.39823,0.2273,1.59804,2.21629,1.46971,1.50359,0,0.000986922,0.000986922,0.000986922
13,942.166,1.5345,2.31777,1.39227,1.45792,0,0.68908,0.5446,0.57863,0.34885,0.45505,0.39954,0.391,0.22671,1.61011,2.18201,1.47582,1.51063,0,0.000984449,0.000984449,0.000984449
14,1010.01,1.50108,2.28872,1.3727,1.43898,0,0.67402,0.54578,0.59051,0.35781,0.46945,0.38498,0.38944,0.21686,1.57406,2.27987,1.38831,1.48416,0,0.000981765,0.000981765,0.000981765
15,1079.23,1.47776,2.24627,1.34137,1.428,0,0.6904,0.56142,0.59928,0.36785,0.55,0.42055,0.41971,0.23342,1.58075,2.18709,1.36282,1.48408,0,0.000978873,0.000978873,0.000978873
16,1149.3,1.49694,2.26694,1.35191,1.43528,0,0.70763,0.53923,0.6001,0.37092,0.48845,0.40181,0.40936,0.23792,1.58285,2.19614,1.40382,1.48849,0,0.000975773,0.000975773,0.000975773
17,1221.69,1.51558,2.31929,1.38949,1.45096,0,0.68587,0.5504,0.60133,0.36515,0.49708,0.38304,0.39123,0.19935,1.55461,2.21565,1.4587,1.47135,0,0.000972466,0.000972466,0.000972466
18,1290.88,1.47715,2.24378,1.33494,1.42165,0,0.7197,0.56878,0.6154,0.3842,0.5046,0.43261,0.41744,0.23701,1.54604,2.17452,1.31719,1.45426,0,0.000968955,0.000968955,0.000968955
19,1361.68,1.46991,2.24422,1.31973,1.40958,0,0.6992,0.56952,0.60277,0.3804,0.48419,0.42458,0.40567,0.2397,1.52736,2.12851,1.3509,1.44948,0,0.000965239,0.000965239,0.000965239
20,1431.52,1.44297,2.2076,1.30784,1.41023,0,0.6933,0.5751,0.61947,0.38839,0.55046,0.42833,0.43135,0.24678,1.51675,2.13177,1.31959,1.4331,0,0.000961322,0.000961322,0.000961322
21,1501.47,1.42602,2.20393,1.28718,1.3878,0,0.69889,0.56832,0.61847,0.39206,0.53271,0.429,0.43142,0.25656,1.48081,2.08224,1.3151,1.42431,0,0.000957205,0.000957205,0.000957205
22,1574.49,1.4256,2.18306,1.26405,1.38106,0,0.72901,0.56516,0.6223,0.39381,0.55178,0.43546,0.43973,0.25267,1.49558,2.07282,1.34071,1.4359,0,0.000952889,0.000952889,0.000952889
23,1643.38,1.40341,2.1554,1.233,1.36707,0,0.70016,0.57845,0.61394,0.39283,0.48117,0.42158,0.40635,0.23837,1.50294,2.10371,1.28741,1.42484,0,0.000948377,0.000948377,0.000948377
24,1711.27,1.40432,2.16751,1.2377,1.36713,0,0.72277,0.56905,0.63092,0.39793,0.5335,0.41657,0.43052,0.25795,1.48668,2.08635,1.27425,1.40696,0,0.000943671,0.000943671,0.000943671
25,1782.7,1.42005,2.15685,1.24308,1.37682,0,0.68187,0.57405,0.61545,0.39543,0.54277,0.43959,0.43681,0.26226,1.48143,2.06051,1.31688,1.41036,0,0.000938772,0.000938772,0.000938772
26,1852.22,1.41207,2.17651,1.23717,1.37848,0,0.71907,0.58062,0.62508,0.40095,0.5313,0.43791,0.43474,0.24982,1.48986,2.09166,1.26605,1.41308,0,0.000933683,0.000933683,0.000933683
27,1921.52,1.37562,2.10411,1.21576,1.35951,0,0.72066,0.58947,0.63867,0.41035,0.53986,0.44189,0.44193,0.25805,1.45045,2.07077,1.26646,1.40418,0,0.000928405,0.000928405,0.000928405
28,1990.6,1.39835,2.16157,1.22416,1.36206,0,0.73728,0.57962,0.63509,0.40861,0.56221,0.44661,0.44775,0.26479,1.47145,2.05214,1.23134,1.40111,0,0.000922942,0.000922942,0.000922942
29,2060.74,1.36345,2.10847,1.1921,1.34936,0,0.69719,0.59537,0.63405,0.40872,0.58919,0.45004,0.4551,0.27138,1.45514,2.0275,1.27482,1.41467,0,0.000917296,0.000917296,0.000917296
30,2129.19,1.37212,2.10839,1.20705,1.35617,0,0.73682,0.58324,0.64277,0.41225,0.52609,0.43869,0.44165,0.26451,1.45569,2.026,1.22638,1.39695,0,0.000911469,0.000911469,0.000911469
31,2200.38,1.36508,2.10675,1.17951,1.34439,0,0.71882,0.57792,0.63464,0.41151,0.55543,0.44067,0.44524,0.26329,1.43892,2.03769,1.2916,1.38542,0,0.000905463,0.000905463,0.000905463
32,2269.47,1.3701,2.10364,1.19182,1.34825,0,0.70549,0.58576,0.63505,0.40575,0.57111,0.43217,0.443,0.25968,1.4436,2.0314,1.23477,1.40154,0,0.000899282,0.000899282,0.000899282
33,2337.74,1.36792,2.10765,1.20142,1.35141,0,0.73685,0.58667,0.64465,0.41141,0.53576,0.4401,0.4504,0.27122,1.47924,2.02693,1.22286,1.40386,0,0.000892928,0.000892928,0.000892928
34,2405.95,1.33177,2.0602,1.14401,1.32082,0,0.72621,0.59343,0.64416,0.41323,0.55175,0.44595,0.44171,0.26277,1.44062,2.02489,1.20491,1.39265,0,0.000886404,0.000886404,0.000886404
35,2476.2,1.33344,2.06357,1.15345,1.33229,0,0.72068,0.58205,0.63976,0.41602,0.57437,0.4438,0.45908,0.2679,1.4245,2.03059,1.21559,1.3811,0,0.000879713,0.000879713,0.000879713
36,2544.99,1.33109,2.04534,1.14525,1.32297,0,0.73792,0.59438,0.63979,0.41972,0.5847,0.46363,0.4608,0.27742,1.41969,1.99058,1.18976,1.37396,0,0.000872857,0.000872857,0.000872857
37,2614.55,1.3155,2.0436,1.13356,1.3188,0,0.74067,0.58486,0.63815,0.41833,0.55498,0.45212,0.44688,0.27345,1.41763,2.00942,1.21153,1.37446,0,0.000865839,0.000865839,0.000865839
38,2685.03,1.33403,2.04418,1.14372,1.31514,0,0.7373,0.59248,0.64836,0.42352,0.58245,0.46514,0.46838,0.28229,1.42175,1.99378,1.19579,1.37654,0,0.000858664,0.000858664,0.000858664
39,2752.54,1.28769,1.99471,1.08843,1.29561,0,0.73025,0.60132,0.65372,0.43038,0.56984,0.45273,0.4592,0.2798,1.41318,1.96387,1.16164,1.37917,0,0.000851333,0.000851333,0.000851333
40,2822.14,1.29822,1.99318,1.113,1.2924,0,0.72352,0.60185,0.64955,0.42653,0.54556,0.45241,0.45441,0.27877,1.4151,1.97993,1.18407,1.36944,0,0.000843851,0.000843851,0.000843851
41,2890.87,1.32027,2.05883,1.13474,1.31419,0,0.73266,0.60428,0.64641,0.42523,0.57777,0.46252,0.45809,0.27861,1.41356,1.97954,1.1781,1.37689,0,0.00083622,0.00083622,0.00083622
42,2958.56,1.30758,2.02221,1.11445,1.3135,0,0.72798,0.60628,0.65186,0.42787,0.563,0.45669,0.45532,0.27578,1.42797,1.99602,1.18424,1.37761,0,0.000828443,0.000828443,0.000828443
43,3026.52,1.30149,2.00198,1.09439,1.30097,0,0.72261,0.60575,0.65651,0.43547,0.57016,0.46294,0.4665,0.28684,1.38172,1.96417,1.15022,1.3531,0,0.000820525,0.000820525,0.000820525
44,3095.48,1.26899,1.98836,1.08912,1.29513,0,0.71011,0.60595,0.64652,0.4253,0.6035,0.46772,0.47053,0.28205,1.39766,1.96404,1.17895,1.37381,0,0.000812468,0.000812468,0.000812468
45,3164.2,1.28862,2.00718,1.10033,1.29432,0,0.74679,0.60289,0.65204,0.42997,0.57428,0.46518,0.46074,0.28181,1.39368,1.95598,1.16277,1.36062,0,0.000804277,0.000804277,0.000804277
46,3232.79,1.28516,1.99713,1.1027,1.2981,0,0.72868,0.59512,0.65107,0.43467,0.56283,0.45047,0.46018,0.28062,1.38047,1.97944,1.17994,1.35936,0,0.000795954,0.000795954,0.000795954
47,3300.38,1.29853,1.99207,1.09998,1.30543,0,0.71752,0.6125,0.65499,0.433,0.58567,0.46407,0.46444,0.28196,1.39633,1.97474,1.15227,1.36978,0,0.000787503,0.000787503,0.000787503
48,3369.42,1.26467,1.96656,1.0717,1.28237,0,0.7525,0.60471,0.66029,0.44105,0.59978,0.47535,0.47487,0.2879,1.37039,1.96296,1.14977,1.34936,0,0.000778929,0.000778929,0.000778929
49,3437.11,1.25284,1.94254,1.04789,1.27192,0,0.74341,0.61326,0.66419,0.44501,0.58919,0.46941,0.47271,0.29414,1.36727,1.9287,1.13299,1.34857,0,0.000770234,0.000770234,0.000770234
50,3506.4,1.25802,1.95105,1.0464,1.27246,0,0.74106,0.61056,0.65888,0.43922,0.5754,0.47373,0.47153,0.28685,1.38612,1.9345,1.15452,1.3476,0,0.000761423,0.000761423,0.000761423
51,3574.71,1.24857,1.94616,1.05096,1.27,0,0.72741,0.61643,0.65555,0.43614,0.59877,0.47664,0.47686,0.28808,1.38665,1.96786,1.13554,1.35825,0,0.0007525,0.0007525,0.0007525
52,3642.75,1.25008,1.96354,1.04531,1.26783,0,0.72607,0.6189,0.66236,0.44202,0.58238,0.47161,0.47022,0.29226,1.37111,1.93322,1.14478,1.34559,0,0.000743468,0.000743468,0.000743468
53,3710.6,1.23405,1.93002,1.01822,1.24852,0,0.75265,0.61288,0.6652,0.44677,0.56642,0.47448,0.4666,0.2928,1.36193,1.91818,1.12632,1.34065,0,0.000734332,0.000734332,0.000734332
54,3779.19,1.22803,1.92229,1.03414,1.25789,0,0.72136,0.61761,0.65961,0.44097,0.59188,0.48111,0.47882,0.29779,1.36762,1.91955,1.12785,1.35099,0,0.000725094,0.000725094,0.000725094
55,3846.52,1.24334,1.91642,1.03363,1.25838,0,0.74247,0.61293,0.6653,0.44668,0.5865,0.4633,0.46875,0.29114,1.36687,1.95132,1.11093,1.34037,0,0.000715761,0.000715761,0.000715761
56,3914.27,1.20288,1.90216,1.017,1.24581,0,0.76174,0.61453,0.66952,0.45212,0.59811,0.48104,0.47919,0.29844,1.34507,1.89777,1.11921,1.33199,0,0.000706335,0.000706335,0.000706335
57,3982.84,1.21664,1.89392,1.00798,1.2557,0,0.71607,0.62654,0.66376,0.43857,0.56744,0.46705,0.46569,0.28543,1.36458,1.91912,1.12001,1.34664,0,0.00069682,0.00069682,0.00069682
58,4050.34,1.21385,1.92663,1.01003,1.25105,0,0.74199,0.61547,0.66702,0.44929,0.60158,0.47329,0.47777,0.29279,1.35703,1.93168,1.10229,1.3399,0,0.000687222,0.000687222,0.000687222
59,4119.45,1.21101,1.89968,0.99158,1.24433,0,0.74494,0.61179,0.6651,0.44855,0.56938,0.4636,0.46299,0.28857,1.35461,1.93968,1.10166,1.33223,0,0.000677543,0.000677543,0.000677543
60,4188.73,1.22315,1.91329,0.99661,1.24526,0,0.73515,0.61598,0.66565,0.45006,0.60603,0.4794,0.48271,0.29981,1.34905,1.895,1.11565,1.33885,0,0.000667789,0.000667789,0.000667789
61,4255.5,1.22056,1.91308,1.0166,1.25274,0,0.74466,0.6171,0.66153,0.44451,0.59226,0.47299,0.47336,0.2929,1.35412,1.93087,1.10432,1.34051,0,0.000657963,0.000657963,0.000657963
62,4323.33,1.20046,1.88619,0.98975,1.23208,0,0.74543,0.61714,0.66595,0.45089,0.59273,0.48282,0.48423,0.29862,1.34702,1.92781,1.10557,1.34193,0,0.000648071,0.000648071,0.000648071
63,4390.7,1.18448,1.86862,0.97404,1.23148,0,0.74809,0.61264,0.66248,0.45018,0.60983,0.48351,0.48631,0.30137,1.3582,1.9216,1.10307,1.35045,0,0.000638115,0.000638115,0.000638115
